cdigo,cd_pai,nome,CJF,CNJ,JE1G,JE2G,JEFP,JEJE,JETR,JF1G,JF2G,JFJE,JFTNU,JFTR,JFTRU,JME1,JMETJM,JMU1,JMUSTM,JT1G,JT2G,JTTST,STF,STJ,TEU
186,175,Exibição,,,X,X,,,,X,X,,,,,X,X,,,X,X,X,,,
188,175,Homologação do Penhor Legal,,,X,,,,,X,,,,,,,,,,,,,,,
190,175,Justificação,,,X,X,,X,,X,,X,,,,X,X,,,X,X,X,,,
191,175,Protesto,,,X,X,,,,X,X,,,,,X,X,,,X,X,X,,,
192,175,Posse em Nome do Nascituro,,,X,,,,,X,X,,,,,,,,,,,,,,
193,175,Produção Antecipada da Prova,,,X,X,,,,X,X,,,,,X,X,,,X,X,X,,,
194,175,Regulamentação de Visitas,,,X,,,,,,,,,,,,,,,,,,,,
195,175,Separação de Corpos,,,X,X,,,,,,,,,,,,,,,,,,,
196,175,Seqüestro,,,X,X,,,,X,X,,,,,X,X,,,X,X,X,,,
197,2,Recursos,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X
198,197,Apelação Cível,,,,X,,,,,X,,,,,,X,,,,,,,,
199,197,Remessa Necessária Cível,,,,X,,,,,X,,,,,,X,,,,,,,,
200,197,Agravos,,,,X,,,X,,X,,X,X,X,,X,,X,,X,X,,X,X
202,200,Agravo de Instrumento,,,,X,,,X,,X,,,X,,,X,,,,,,,,
204,200,Agravo de Instrumento em Recurso Extraordinário,,,,X,,,X,,X,,,,X,,X,,,,X,X,,,
206,200,Agravo Regimental Cível,,,,X,,,X,,X,,X,X,X,,X,,,,,,,X,X
207,197,Embargos,,,X,X,X,X,X,X,X,X,,X,X,X,X,,,X,X,X,X,X,X
208,207,Embargos Infringentes,,,,X,,,,,X,,,,,,X,,,,,,,,
210,207,Embargos Infringentes na Execução Fiscal,,,X,,,,,X,,,,,,,,,,X,,,,,
212,197,Recurso Extraordinário,,,,,,,,,,,,,,,,,,,,,X,,
213,197,Recurso Especial,,,,,,,,,,,,,,,,,,,,,,X,
214,2,Outros Procedimentos,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
215,214,Incidentes,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
216,215,Incidente De Arguição de Inconstitucionalidade Cível,,,,X,,,,,X,,,,,,X,,,,X,X,,X,
218,215,Assistência Judiciária,,,X,X,,X,X,X,X,,,,,X,X,,,,,,,,
221,215,Conflito de competência cível,,,,X,,,X,,X,,,X,,,X,,,,X,X,,,
224,215,Exceções,X,,X,X,X,X,X,X,X,X,,X,X,X,X,,,X,X,X,,,
228,215,Exibição de Documento ou Coisa Cível,,,X,X,,,,X,X,,,,,X,X,,,,,,,,
229,155,Impugnação ao Cumprimento de Sentença,,,X,X,,,,X,X,,,,,X,X,,,,,,,,
230,215,Impugnação ao Pedido de Assistência Litisconsorcial ou Simples,,,X,X,,,,X,X,,,,,X,X,,,,,,,,
231,215,Impugnação ao Valor da Causa Cível,,,X,X,,,,X,X,,,,,X,X,,,X,X,X,,X,
232,215,Incidente de Falsidade,,,X,X,,,,X,X,,,,,X,X,,,X,X,X,,X,
233,215,Incidente de Uniformização de Jurisprudência,,,,X,,,,,X,,,,,,X,,,,X,X,,X,
234,215,Remoção de Inventariante,,,X,,,,,,,,,,,,,,,,,,,,
236,215,Oposição,,,X,X,,,,X,X,,,,,,,,,X,X,X,,,
237,214,Atos e expedientes,,X,X,X,X,X,X,X,X,X,,X,X,X,X,,,X,X,X,,,
238,237,Avocatória,,X,,X,,,,,X,,,,,,X,,,,,,,,
239,237,Habilitação para Casamento,,,X,,,,,,,,,,,,,,,,,,,,
240,237,Instrução de Rescisória,,,X,,,,,,,,,,,X,X,,,,,,,,
