cdigo,cd_pai,nome,CJF,CNJ,FTR,JE1G,JE2G,JEFP,JEJE,JETR,JF1G,JF2G,JFJE,JFTNU,JFTRU,JME,JME1,JMU,JMU1,JT1G,JT2G,JTTST,STF,STJ,TEU
443,210,Habeas corpus,,,X,X,X,,,X,X,X,,,,X,X,X,X,X,X,X,X,X,
444,210,Habeas data,,,,X,X,,,,X,X,,,,X,X,X,,X,X,X,X,X,
445,210,Mandado de injunção,,,,,,,,,,,,,,,,,,,,,X,,
446,212,Segurança,,,X,X,X,,,X,X,X,,,,X,X,X,X,X,X,X,X,X,
447,212,Habeas corpus,,,X,X,X,,,X,X,X,,,,X,X,X,X,X,X,X,X,X,
448,212,Habeas data,,,,X,X,,,,X,X,,,,X,X,X,,X,X,X,X,X,
449,212,Mandado de injunção,,,,,,,,,,,,,,,,,,,,,X,,
450,214,Segurança,,,X,X,X,,,X,X,X,,,,X,X,X,X,X,X,X,X,X,
451,214,Habeas corpus,,,X,X,X,,,X,X,X,,,,X,X,X,X,X,X,X,X,X,
452,214,Habeas data,,,,X,X,,,,X,X,,,,X,X,X,,X,X,X,X,X,
453,214,Mandado de injunção,,,,,,,,,,,,,,,,,,,,,X,,
454,456,Indeferimento da petição inicial,,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,
455,385,Renúncia ao direito pelo autor,,,X,X,X,X,X,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
456,218,Extinção,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
457,456,Paralisação por negligência das partes,,,X,X,X,X,X,X,X,X,X,,X,X,X,X,,X,X,X,X,X,X
458,456,Abandono da causa,,,X,X,X,X,X,X,X,X,X,,,X,X,,,X,X,X,X,X,
459,456,Ausência de pressupostos processuais,,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,
460,456,"Perempção, litispendência ou coisa julgada",,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
461,456,Ausência das condições da ação,,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,
462,456,Convenção de arbitragem,,,X,X,X,X,X,X,X,X,X,,X,,,,,X,X,X,X,X,X
463,456,Desistência,,X,,X,X,X,X,,X,X,X,,,X,X,X,,X,X,X,X,X,
464,456,Ação intransmissível,,,X,X,X,X,X,X,X,X,X,,X,,,,,X,X,X,X,X,X
465,456,Confusão entre autor e réu,,,,X,X,,,,X,X,,,,,,,,X,X,X,X,X,
466,385,Homologação de Transação,,X,X,X,X,X,X,X,X,X,X,,,X,X,,,X,X,X,X,,
471,385,Pronúncia de Decadência ou Prescrição,,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
472,228,"Sumaríssimo (art. 852-B, § 1º/CLT)",,,,,,,,,,,,,,,,,,X,,,,,
473,228,Ausência do Reclamante,,,,,,,,,,,,,,,,,,X,,,,,
478,16,Cálculo de Liquidação,,,,X,X,X,X,,X,X,X,,,X,X,,,X,X,X,,X,
479,16,Custas,,,,X,X,X,X,X,,,,,,X,X,,,X,X,X,X,X,
480,16,Atualização de conta,,,,X,X,X,X,,X,X,X,,,X,X,,,X,X,X,,X,
481,16,Tributos,,,,X,X,,,,,,,,,,,,,X,X,X,,X,
488,18,Cancelamento de Distribuição,,X,,X,X,,,,X,X,,,,X,X,X,X,X,X,X,,X,
493,48,Entrega em carga/vista,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
581,67,Documento,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
785,968,Tutela Provisória,,,,X,X,,,,X,X,,,,X,X,X,X,X,X,X,X,X,
787,817,Gratuidade da Justiça,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
788,138,Exceção de pré-executividade,,,,X,X,,,,X,X,,,,X,X,,,X,X,X,,X,
792,968,Liminar,,X,X,X,X,X,X,X,X,X,X,,,X,X,X,,X,X,X,X,X,
804,163,Recurso,X,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
817,3,Concessão,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
818,817,Liberdade provisória,,,,X,X,X,X,,X,X,X,,,X,X,X,X,,,,,X,
819,817,Livramento Condicional,,,,X,X,,,,X,X,X,,,X,X,X,X,,,,,X,
821,7,Pena / Medida,,,,X,X,X,X,,X,X,X,,,X,X,X,X,,,,,X,
823,117,Provisória,,,,X,X,,,,,,,,,,,,,,,,,X,
824,117,Definitiva,,,,X,X,,,,,,,,,,,,,,,,,X,
848,48,Trânsito em julgado,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
849,48,Reativação,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,,X
