Código,Cód. Pai,Dispositivo legal,Artigo,Data de Publicação,Data de Alteração,Data de Inativação,Data de Reativação,nome,JMU1G
10755,3654,Lei 9504/97,"art. 39, § 5º",2008-09-30 15:52:52,,,,Boca de urna,X
10748,3654,Código Eleitoral,art. 324,2008-09-30 15:52:52,,,,Calúnia,X
10751,3654,Código Eleitoral; Lei 9.504/97,art. 299; art. 41-A,2008-09-30 15:52:52,,,,Captação ilícita de votos ou corrupção eleitoral,X
10824,3654,Código Eleitoral,art. 300,2008-09-30 15:52:52,,,,Coação eleitoral,X
10754,3654,Código Eleitoral,art. 347,2008-09-30 15:52:52,,,,Desobediência à determinações da Justiça Eleitoral,X
10815,3654,Código Eleitoral,art. 296,2008-09-30 15:52:52,,,,Desordem eleitoral,X
10749,3654,Código Eleitoral,art. 325,2008-09-30 15:52:52,,,,Difamação,X
10820,3654,Lei 9504/97,"artigo 33, § 4º",2008-09-30 15:52:52,,,,Divulgação de pesquisa de fraudulenta,X
10816,3654,Código Eleitoral,artigo 348,2008-09-30 15:52:52,,,,Falsificação de documento público para fins eleitorais,X
10753,3654,Código Eleitoral,art. 350,2008-09-30 15:52:52,,,,Falso eleitoral,X
10821,3654,Lei 9504/97,"art. 34, § 2º",2008-09-30 15:52:52,,,,Impedimento à fiscalização das pesquisas,X
10756,3654,Código Eleitoral,art. 290,2008-09-30 15:52:52,,,,Indução à inscrição indevida,X
10750,3654,Código Eleitoral,art. 326,2008-09-30 15:52:52,,,,Injúria,X
10747,3654,Código Eleitoral,art. 289,2008-09-30 15:52:52,,,,Inscrição fraudulenta ,X
10818,3654,Código Eleitoral,art. 354,2008-09-30 15:52:52,,,,Obtenção de documento falso,X
10827,3654,Código Eleitoral,art. 339,2008-09-30 15:52:52,,,,Ocultação de urna,X
10822,3654,Lei 9504/97,"art. 34, § 3º",2008-09-30 15:52:52,,,,Publicação de pesquisa irregular,X
10817,3654,Código Eleitoral,art. 353,2008-09-30 15:52:52,,,,Uso de documento falso,X
10823,3654,Lei 9504/97,art. 40,2008-09-30 15:52:52,,,,Uso de símbolos governamentais em propaganda eleitoral,X
3661,3603,Lei 11.101/05,arts. 168 a 178,2008-09-30 15:52:52,,,,Crimes Falimentares,X
3664,3603,CPM (Lei 1.101/69),arts. 136 a 408,2008-09-30 15:52:52,2023-09-27 17:05:10,,,Crimes Militares,X
10836,3664,CPM (Lei 1.101/69),305,2008-09-30 15:52:52,2023-09-27 17:06:38,,,Concussão,X
