Código,Cód. Pai,Dispositivo legal,Artigo,Data de Publicação,Data de Alteração,Data de Inativação,Data de Reativação,nome,CNJ
11917,10187,,,2012-06-06 00:00:00,,,,Residência,X
11918,10187,,,2012-06-06 00:00:00,,,,Substituição/Convocação em Tribunal,X
11919,10187,,,2012-06-06 00:00:00,,,,Violação Prerrogativa Advogado,X
13323,10187,,,2020-11-04 00:00:00,,,,Vitaliciamento ,X
9997,9985,,,2008-09-30 15:52:52,,,,Atos Administrativos,X
11899,9997,,,2012-06-06 00:00:00,,,,Ato Normativo,X
11901,11899,,,2012-06-06 00:00:00,,,,Recomendação,X
11900,11899,,,2012-06-06 00:00:00,,,,Resolução,X
11902,11899,,,2012-06-06 00:00:00,,,,Resolução Conjunta,X
10015,9997,,,2008-09-30 15:52:52,,,,Fiscalização,X
11948,10015,,,2012-09-10 00:00:00,,,,Inspeção,X
11951,10015,,,2012-09-17 00:00:00,,,,Investigação Patrimonial,X
12463,9997,,,2019-02-19 00:00:00,,,,Providência,X
11949,9997,,,2012-09-17 00:00:00,,,,Revisão/Desconstituição de Ato Administrativo,X
10370,9985,,,2008-09-30 15:52:52,,,,Concurso Público / Edital,X
10379,10370,8.112/90,arts. 10 a 15,2008-09-30 15:52:52,,,,Anulação e Correção de Provas / Questões,X
12959,10370,,,2020-11-04 00:00:00,,,,Cadastro Reserva ,X
11903,10370,,,2012-06-06 00:00:00,,,,Concurso para magistrado,X
11910,10370,,,2012-06-06 00:00:00,,,,Concurso para serventia extrajudicial,X
11909,10370,,,2012-06-06 00:00:00,,,,Concurso para servidor,X
10384,10370,Lei 8112/90,arts. 10 a 15,2008-09-30 15:52:52,,,,Condições Especiais para Prestação de Prova,X
10377,10370,Lei 8112/90,arts. 10 a 15,2008-09-30 15:52:52,,,,Curso de Formação,X
10380,10370,Lei 8112/90,"art. 5º, IV",2008-09-30 15:52:52,,,,Escolaridade,X
10376,10370,Lei 8112/90,"art. 5º, IVI, art. 14",2008-09-30 15:52:52,,,,Exame de Saúde e/ou Aptidão Física,X
10378,10370,,,2008-09-30 15:52:52,,,,Exame Psicotécnico / Psiquiátrico,X
10374,10370,CF,"Art. 93, I; 129, § 3º",2008-09-30 15:52:52,,,,Exigência de Prática Forense,X
10372,10370,Lei 8112/90,,2008-09-30 15:52:52,,,,Inscrição / Documentação,X
10373,10370,Lei 8112/90,"art. 5º, V",2008-09-30 15:52:52,,,,Limite de Idade,X
10383,10370,"CFCF, Lei 8112/90","CF, art. 37, III; Lei 8112/90, art. 12",2008-09-30 15:52:52,,,,Prazo de Validade,X
10375,10370,CF,"37, II",2008-09-30 15:52:52,,,,Prova de Títulos,X
11904,10370,,,2012-06-06 00:00:00,,,,Prova Objetiva,X
